"","X","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","sex","lifeStage","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier.1","http...unknown.org.nick","informationWithheld","verbatimEventDate","collectionCode","gbifID","verbatimLocality","occurrenceID","taxonID","catalogNumber","institutionCode","http...unknown.org.captive","identificationID","name","eventTime","identificationRemarks","individualCount","elevation","elevationAccuracy","samplingProtocol","recordNumber","institutionID","nomenclaturalCode","samplingEffort","verbatimCoordinateSystem","county","municipality","locality","language","type","vernacularName","ownerInstitutionCode","verbatimElevation","occurrenceRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","eventID","habitat","verbatimSRS","higherClassification","projectId","datasetID","georeferencedBy","locationID","parentEventID","organismQuantity","organismQuantityType","preparations","dynamicProperties","eventRemarks","distanceFromCentroidInMeters","otherCatalogNumbers","verbatimTaxonRank","collectionID","georeferenceRemarks","institutionKey","coordinatePrecision","footprintWKT","sampleSizeUnit","sampleSizeValue","fieldNumber","previousIdentifications","locationRemarks","taxonRemarks","fieldNotes","georeferenceSources","bibliographicCitation","disposition","accessRights","waterBody","higherGeography","endDayOfYear","georeferenceVerificationStatus","startDayOfYear","georeferencedDate","collectionKey","organismID","georeferenceProtocol","flags"
"1",1,4039295571,"Tremarctos ornatus (F.G.Cuvier, 1825)",-3.510012,-80.18337,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","EC","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:26:02.571+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT","MALE","Juvenile",2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2023-01-19T03:23:41",31422,"SOUTH_AMERICA","El Oro",2023,1,7,"2023-01-07T00:00:00","2023-02-27T00:11:23.000+00:00","2023-03-29T14:26:02.571+00:00","https://www.inaturalist.org/observations/146868065","http://creativecommons.org/licenses/by-nc/4.0/legalcode","146868065","none","none",FALSE,"iNaturalist research-grade observations","ervin","ervin","WGS84","Mammalia","EC","none","none","Ecuador","ervin","146868065","cher0102","Coordinate uncertainty increased to 31422m to protect threatened taxon","2023-01-07","Observations",4039295571,"El Oro, EC","https://www.inaturalist.org/observations/146868065",41657,"146868065","iNaturalist","wild",328162556,"Tremarctos ornatus (F.G.Cuvier, 1825)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"2",2,4029159626,"Tremarctos ornatus (F.G.Cuvier, 1825)",-6.51964,-79.470247,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","CA","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:10:55.197+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2023-01-26T17:10:44",31350,"SOUTH_AMERICA","Lambayeque",2023,1,24,"2023-01-24T06:45:45","2023-01-27T03:50:17.000+00:00","2023-03-29T14:10:55.197+00:00","https://www.inaturalist.org/observations/147401695","http://creativecommons.org/licenses/by-nc/4.0/legalcode","147401695","none","none",FALSE,"iNaturalist research-grade observations","adimitriou","adimitriou","WGS84","Mammalia","PE","none","none","Peru","adimitriou","147401695","adimitriou","Coordinate uncertainty increased to 31350m to protect threatened taxon","2023-01-24 06:45:45-05:00","Observations",4029159626,"Lambayeque, PE","https://www.inaturalist.org/observations/147401695",41657,"147401695","iNaturalist","wild",329781712,"Tremarctos ornatus (F.G.Cuvier, 1825)","06:45:45-05:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"3",3,4029182370,"Tremarctos ornatus (F.G.Cuvier, 1825)",-2.88131,-78.64452,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","EC","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:25:53.132+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2023-01-30T20:31:00",31431,"SOUTH_AMERICA","Azuay",2023,1,29,"2023-01-29T11:55:21","2023-02-07T02:14:03.000+00:00","2023-03-29T14:25:53.132+00:00","https://www.inaturalist.org/observations/147679855","http://creativecommons.org/licenses/by/4.0/legalcode","147679855","none","none",FALSE,"iNaturalist research-grade observations","Kabir Montesinos","Kabir Montesinos","WGS84","Mammalia","EC","none","none","Ecuador","Kabir Montesinos","147679855","kabirbosques","Coordinate uncertainty increased to 31431m to protect threatened taxon","2023-01-29 11:55:21","Observations",4029182370,"Ecuador","https://www.inaturalist.org/observations/147679855",41657,"147679855","iNaturalist","wild",330736274,"Tremarctos ornatus (F.G.Cuvier, 1825)","11:55:21-05:00","su comida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"4",4,4034705505,"Tremarctos ornatus (F.G.Cuvier, 1825)",-0.538592,-78.384529,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:25:54.829+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2023-02-08T02:25:55",31451,"SOUTH_AMERICA","Pichincha",2023,1,21,"2023-01-21T17:10:00","2023-03-02T12:00:17.000+00:00","2023-03-29T14:25:54.829+00:00","https://www.inaturalist.org/observations/148292942","http://creativecommons.org/licenses/by-nc/4.0/legalcode","148292942","none","none",FALSE,"iNaturalist research-grade observations","Alex Doyle","Alex Doyle","WGS84","Mammalia","EC","none","none","Ecuador","Alex Doyle","148292942","alexjdoyle17","Coordinate uncertainty increased to 31451m to protect threatened taxon","2023/01/21 5:10 PM","Observations",4034705505,"Ecuador","https://www.inaturalist.org/observations/148292942",41657,"148292942","iNaturalist","wild",332515071,"Tremarctos ornatus (F.G.Cuvier, 1825)","17:10:00-05:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"5",5,4054879777,"Tremarctos ornatus (F.G.Cuvier, 1825)",-0.590094,-78.007396,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:25:58.993+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2023-03-02T20:51:48",31451,"SOUTH_AMERICA","Napo",2023,2,19,"2023-02-19T13:33:00","2023-03-19T11:07:15.000+00:00","2023-03-29T14:25:58.993+00:00","https://www.inaturalist.org/observations/150079865","http://creativecommons.org/publicdomain/zero/1.0/legalcode","150079865","none","none",FALSE,"iNaturalist research-grade observations","Chrissy McClarren and Andy Reago","Chrissy McClarren and Andy Reago","WGS84","Mammalia","EC","none","none","Ecuador","Chrissy McClarren and Andy Reago","150079865","wildreturn","Coordinate uncertainty increased to 31451m to protect threatened taxon","2023/02/19 1:33 PM","Observations",4054879777,"Ecuador","https://www.inaturalist.org/observations/150079865",41657,"150079865","iNaturalist","wild",338033283,"Tremarctos ornatus (F.G.Cuvier, 1825)","13:33:00-05:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"6",6,4063066383,"Tremarctos ornatus (F.G.Cuvier, 1825)",-0.538373,-78.271587,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:26:07.305+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2023-03-14T20:21:18",31451,"SOUTH_AMERICA","Pichincha",2023,2,13,"2023-02-13T13:47:00","2023-03-19T11:07:00.000+00:00","2023-03-29T14:26:07.305+00:00","https://www.inaturalist.org/observations/151151422","http://creativecommons.org/licenses/by-nc/4.0/legalcode","151151422","none","none",FALSE,"iNaturalist research-grade observations","Oliver Patrick","Oliver Patrick","WGS84","Mammalia","EC","none","none","Ecuador","Oliver Patrick","151151422","oliverpatrick","Coordinate uncertainty increased to 31451m to protect threatened taxon","2023/02/13 1:47 PM","Observations",4063066383,"Ecuador","https://www.inaturalist.org/observations/151151422",41657,"151151422","iNaturalist","wild",341342881,"Tremarctos ornatus (F.G.Cuvier, 1825)","13:47:00-05:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"7",7,3744049337,"Tremarctos ornatus (F.G.Cuvier, 1825)",1.71725,-76.22419,"","206ade53-4aea-42ec-9d59-a8d6842e24ae","ea573d31-79fd-44f2-ada9-303e820feb4a","68845aab-a453-4816-b36d-a3ec8455deb0","CO","EML","2023-01-04T12:16:31.108+00:00","2023-01-24T15:45:17.121+00:00",29,"c4f66525-4d36-4c18-82ac-98e088f54db4","MACHINE_OBSERVATION","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU",NA,NA,"SOUTH_AMERICA","Huila",2022,1,4,"2022-01-04T00:00:00",NA,"2023-01-24T15:45:17.121+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","OAGR:Fototrampeo_2022:1037","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","CO","none","none","Colombia",NA,"OAGR:Fototrampeo_2022:1037",NA,NA,"4/01/2022",NA,3744049337,"Pensil-P4","OAGR:Fototrampeo_2022:1037",NA,NA,"Alcaldía de Pitalito (PITALITO)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)","06:38:10",NA,1,2311,0,"Cámara trampa","1037","891.180.077-0","ICZN","10 cámaras | 16 puntos","Grados, minutos, segundos","Pitalito","Bruselas","Pensil, P4","es","MovingImage","Oso Andino","Oficina de Ambiente y Gestión del Riesgo","2311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"8",8,3744050137,"Tremarctos ornatus (F.G.Cuvier, 1825)",1.73647,-76.25441,"","206ade53-4aea-42ec-9d59-a8d6842e24ae","ea573d31-79fd-44f2-ada9-303e820feb4a","68845aab-a453-4816-b36d-a3ec8455deb0","CO","EML","2023-01-04T12:16:31.108+00:00","2023-01-24T15:45:17.433+00:00",29,"c4f66525-4d36-4c18-82ac-98e088f54db4","MACHINE_OBSERVATION","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU",NA,NA,"SOUTH_AMERICA","Huila",2022,1,14,"2022-01-14T00:00:00",NA,"2023-01-24T15:45:17.433+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","OAGR:Fototrampeo_2022:1105","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","CO","none","none","Colombia",NA,"OAGR:Fototrampeo_2022:1105",NA,NA,"14/01/2022",NA,3744050137,"El Porvenir-P2","OAGR:Fototrampeo_2022:1105",NA,NA,"Alcaldía de Pitalito (PITALITO)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)","09:35:53",NA,1,2368,0,"Cámara trampa","1105","891.180.077-0","ICZN","10 cámaras | 16 puntos","Grados, minutos, segundos","Pitalito","Bruselas","El Porvenir, P2","es","MovingImage","Oso Andino","Oficina de Ambiente y Gestión del Riesgo","2368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"11",11,3744050075,"Tremarctos ornatus (F.G.Cuvier, 1825)",1.71827,-76.223,"","206ade53-4aea-42ec-9d59-a8d6842e24ae","ea573d31-79fd-44f2-ada9-303e820feb4a","68845aab-a453-4816-b36d-a3ec8455deb0","CO","EML","2023-01-04T12:16:31.108+00:00","2023-01-24T15:45:17.431+00:00",29,"c4f66525-4d36-4c18-82ac-98e088f54db4","MACHINE_OBSERVATION","PRESENT",NA,NA,2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU",NA,NA,"SOUTH_AMERICA","Huila",2022,1,15,"2022-01-15T00:00:00",NA,"2023-01-24T15:45:17.431+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","OAGR:Fototrampeo_2022:1118","none","none",FALSE,NA,NA,NA,"WGS84","Mammalia","CO","none","none","Colombia",NA,"OAGR:Fototrampeo_2022:1118",NA,NA,"15/01/2022",NA,3744050075,"Pensil-P3","OAGR:Fototrampeo_2022:1118",NA,NA,"Alcaldía de Pitalito (PITALITO)",NA,NA,"Tremarctos ornatus (F.G.Cuvier, 1825)","13:04:28",NA,1,2282,0,"Cámara trampa","1118","891.180.077-0","ICZN","10 cámaras | 16 puntos","Grados, minutos, segundos","Pitalito","Bruselas","Pensil, P3","es","MovingImage","Oso Andino","Oficina de Ambiente y Gestión del Riesgo","2282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"12",12,3705769897,"Tremarctos ornatus (F.G.Cuvier, 1825)",-0.423622,-78.021926,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","EC","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:05:29.047+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",NA,"Adult",2433401,1,44,359,732,9681,2433400,2433401,2433401,"Tremarctos ornatus (F.G.Cuvier, 1825)","Animalia","Chordata","Carnivora","Ursidae","Tremarctos","Tremarctos ornatus","Tremarctos","ornatus","SPECIES","ACCEPTED","VU","2022-03-01T01:59:03",31451,"SOUTH_AMERICA","Napo",2022,2,18,"2022-02-18T13:41:00","2022-10-02T15:23:12.000+00:00","2023-03-29T14:05:29.047+00:00","https://www.inaturalist.org/observations/107670892","http://creativecommons.org/licenses/by-nc/4.0/legalcode","107670892","none","none",FALSE,"iNaturalist research-grade observations","Luis Yupa","Michal Sloviak","WGS84","Mammalia","EC","none","none","Ecuador","Luis Yupa","107670892","luisyupa","Coordinate uncertainty increased to 31451m to protect threatened taxon","2022/02/18 1:41 PM -0500","Observations",3705769897,"Napo, EC","https://www.inaturalist.org/observations/107670892",41657,"107670892","iNaturalist","wild",239709636,"Tremarctos ornatus (F.G.Cuvier, 1825)","13:41:00-05:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
