"","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","occurrenceStatus"
"1",-80.18337,-3.510012,31422,"PRESENT"
"2",-79.470247,-6.51964,31350,"PRESENT"
"3",-78.64452,-2.88131,31431,"PRESENT"
"4",-78.384529,-0.538592,31451,"PRESENT"
"5",-78.007396,-0.590094,31451,"PRESENT"
"6",-78.271587,-0.538373,31451,"PRESENT"
"7",-76.22419,1.71725,NA,"PRESENT"
"8",-76.25441,1.73647,NA,"PRESENT"
"9",-76.223,1.71827,NA,"PRESENT"
"10",-78.021926,-0.423622,31451,"PRESENT"
"11",-73.988818,4.667349,31398,"PRESENT"
"12",-76.250301,2.49758,31436,"PRESENT"
"13",-73.310937,5.159837,NA,"PRESENT"
"14",-73.311357,5.157711,NA,"PRESENT"
"15",-73.325093,5.113944,NA,"PRESENT"
"16",-76.23966,1.77558,NA,"PRESENT"
"17",-76.23675,1.77766,NA,"PRESENT"
"18",-72.720594,5.402333,NA,"PRESENT"
"19",-73.033824,7.028384,31331,"PRESENT"
"20",-78.224873,-0.311136,31451,"PRESENT"
"21",-78.129108,-0.589178,31451,"PRESENT"
"22",-78.343227,-0.379081,31451,"PRESENT"
"23",-78.318433,-0.300432,31451,"PRESENT"
"24",-78.302882,-0.377358,31451,"PRESENT"
"25",-73.771923,4.547314,31403,"PRESENT"
"26",-77.926044,-0.099743,31451,"PRESENT"
"27",-73.783147,4.541841,31403,"PRESENT"
"28",-78.105195,-0.32988,31451,"PRESENT"
"29",-76.22616,1.7143,NA,"PRESENT"
"30",-78.281435,-0.909257,31449,"PRESENT"
"31",-78.356856,-0.347742,31451,"PRESENT"
"32",-78.654856,0.113617,31451,"PRESENT"
"33",-78.402497,0.229596,31451,"PRESENT"
"34",-76.22488,1.66569,NA,"PRESENT"
"35",-78.067875,-0.349719,31451,"PRESENT"
"36",-78.331741,-0.512851,31451,"PRESENT"
"37",-76.418893,4.268852,NA,"PRESENT"
"38",-65.930997,-17.398783,30748,"PRESENT"
"39",-72.89181,10.159647,31208,"PRESENT"
"40",-78.377934,-0.568,31451,"PRESENT"
"41",-78.246552,-0.314041,31451,"PRESENT"
"42",-78.123976,-0.374622,31451,"PRESENT"
"43",-78.743828,-0.176246,31451,"PRESENT"
"44",-78.182935,-0.202637,31451,"PRESENT"
"45",-78.662903,0.033799,31451,"PRESENT"
"46",-71.41907,-13.030563,31045,"PRESENT"
"47",-71.510299,-13.173838,31045,"PRESENT"
"48",-78.876624,0.143553,31451,"PRESENT"
"49",-78.27991,-0.289945,31451,"PRESENT"
"50",-78.620328,0.088903,31451,"PRESENT"
"51",-78.383584,-0.590262,31451,"PRESENT"
"52",-79.492816,-3.566219,31422,"PRESENT"
"53",-78.250937,-0.264917,31451,"PRESENT"
"54",-78.365599,-0.518877,31451,"PRESENT"
"55",-78.062862,-1.570662,31446,"PRESENT"
"56",-75.071158,2.751928,NA,"PRESENT"
"57",-75.071203,2.751997,NA,"PRESENT"
"58",-75.070944,2.752069,NA,"PRESENT"
"59",-75.070458,2.752328,NA,"PRESENT"
"60",-75.069336,2.750614,NA,"PRESENT"
"61",-75.071094,2.750375,NA,"PRESENT"
"62",-74.976917,2.668778,NA,"PRESENT"
"63",-73.210317,5.91775,NA,"PRESENT"
"64",-73.170184,5.9864,NA,"PRESENT"
"65",-73.152022,5.96125,NA,"PRESENT"
"66",-73.152767,5.98517,NA,"PRESENT"
"67",-72.917033,7.65063,NA,"PRESENT"
"68",-72.92025,7.646,NA,"PRESENT"
"69",-78.673321,0.001862,31451,"PRESENT"
"70",-78.152762,-0.345021,31451,"PRESENT"
"71",-72.82175,10.57322,NA,"PRESENT"
"72",-72.80975,10.57461,NA,"PRESENT"
"73",-72.814056,10.57386,NA,"PRESENT"
"74",-76.067778,3.463611,NA,"PRESENT"
"75",-76.05,3.464444,NA,"PRESENT"
"76",-77.81585,0.560344,87715,"PRESENT"
"77",-78.748274,-0.17207,31451,"PRESENT"
"78",-73.377617,6.84452,NA,"PRESENT"
"79",-73.374233,6.8444,NA,"PRESENT"
"80",-73.374033,6.84433,NA,"PRESENT"
"81",-73.3726,6.84518,NA,"PRESENT"
"82",-73.369333,6.8589,NA,"PRESENT"
"83",-73.370183,6.85925,NA,"PRESENT"
"84",-73.3696,6.85885,NA,"PRESENT"
"85",-76.36,2.364444,NA,"PRESENT"
"86",-76.589,1.7486,NA,"PRESENT"
"87",-78.264032,-0.274417,31451,"PRESENT"
"88",-78.082978,-0.303586,31451,"PRESENT"
"89",-78.503778,0.085994,31451,"PRESENT"
"90",-76.1616,6.6167,NA,"PRESENT"
