"","x","y","Presence"
"1",-1549500,4694500,1
"2",-1549500,4693500,1
"3",-1558500,4682500,1
"4",-1557500,4682500,1
"5",-1569500,4660500,1
"6",-1569500,4653500,1
"7",-1563500,4640500,1
"8",-1331500,4510500,1
"9",-1545500,4388500,1
"10",-1715500,4377500,1
"11",-1714500,4376500,1
"12",-1715500,4375500,1
"13",-1489500,4371500,1
"14",-1489500,4370500,1
"15",-1473500,4361500,1
"16",-1472500,4361500,1
"17",-1471500,4360500,1
"18",-1957500,4335500,1
"19",-1553500,4324500,1
"20",-1813500,4305500,1
"21",-1592500,4303500,1
"22",-1593500,4301500,1
"23",-1592500,4301500,1
"24",-1471500,4299500,1
"25",-1470500,4299500,1
"26",-1470500,4298500,1
"27",-1468500,4298500,1
"28",-1464500,4298500,1
"29",-1883500,4290500,1
"30",-1915500,4281500,1
"31",-1921500,4252500,1
"32",-1918500,4250500,1
"33",-1472500,4247500,1
"34",-1921500,4246500,1
"35",-1933500,4240500,1
"36",-1912500,4239500,1
"37",-1906500,4236500,1
"38",-1920500,4233500,1
"39",-1921500,4229500,1
"40",-1550500,4229500,1
"41",-1550500,4228500,1
"42",-1561500,4227500,1
"43",-1551500,4227500,1
"44",-1468500,4226500,1
"45",-1563500,4225500,1
"46",-1556500,4224500,1
"47",-1552500,4223500,1
"48",-1548500,4222500,1
"49",-1558500,4219500,1
"50",-1558500,4217500,1
"51",-1566500,4216500,1
"52",-1565500,4216500,1
"53",-1559500,4216500,1
"54",-1558500,4216500,1
"55",-1561500,4215500,1
"56",-1560500,4215500,1
"57",-1559500,4215500,1
"58",-1483500,4214500,1
"59",-1558500,4213500,1
"60",-1924500,4208500,1
"61",-1565500,4208500,1
"62",-1564500,4208500,1
"63",-1490500,4202500,1
"64",-1691500,4200500,1
"65",-1691500,4199500,1
"66",-1608500,4193500,1
"67",-1605500,4193500,1
"68",-1485500,4182500,1
"69",-1504500,4180500,1
"70",-1508500,4178500,1
"71",-1469500,4175500,1
"72",-1896500,4160500,1
"73",-1502500,4160500,1
"74",-1604500,4158500,1
"75",-1622500,4146500,1
"76",-1877500,4138500,1
"77",-1843500,4136500,1
"78",-1603500,4135500,1
"79",-1602500,4135500,1
"80",-1877500,4134500,1
"81",-1601500,4134500,1
"82",-1600500,4134500,1
"83",-1610500,4132500,1
"84",-1601500,4132500,1
"85",-1853500,4131500,1
"86",-1570500,4129500,1
"87",-1569500,4129500,1
"88",-1571500,4124500,1
"89",-1906500,4111500,1
"90",-1900500,4108500,1
"91",-1817500,4107500,1
"92",-1629500,4105500,1
"93",-1620500,4105500,1
"94",-1890500,4104500,1
"95",-1604500,4104500,1
"96",-1895500,4103500,1
"97",-1892500,4103500,1
"98",-1891500,4101500,1
"99",-1890500,4099500,1
"100",-1617500,4099500,1
"101",-1616500,4099500,1
"102",-1615500,4099500,1
"103",-1587500,4099500,1
"104",-1618500,4098500,1
"105",-1616500,4098500,1
"106",-1618500,4097500,1
"107",-1617500,4097500,1
"108",-1611500,4097500,1
"109",-1613500,4096500,1
"110",-1888500,4095500,1
"111",-1615500,4095500,1
"112",-1887500,4093500,1
"113",-1614500,4093500,1
"114",-1889500,4091500,1
"115",-1966500,4087500,1
"116",-1890500,4087500,1
"117",-1620500,4087500,1
"118",-1619500,4086500,1
"119",-1889500,4085500,1
"120",-1623500,4084500,1
"121",-1631500,4083500,1
"122",-1612500,4083500,1
"123",-1616500,4081500,1
"124",-1558500,4081500,1
"125",-1645500,4080500,1
"126",-1635500,4080500,1
"127",-1615500,4080500,1
"128",-1614500,4079500,1
"129",-1608500,4079500,1
"130",-1603500,4079500,1
"131",-1893500,4078500,1
"132",-1622500,4078500,1
"133",-1621500,4078500,1
"134",-1611500,4078500,1
"135",-1610500,4078500,1
"136",-1609500,4078500,1
"137",-1607500,4078500,1
"138",-1632500,4077500,1
"139",-1623500,4077500,1
"140",-1622500,4077500,1
"141",-1612500,4077500,1
"142",-1611500,4077500,1
"143",-1604500,4077500,1
"144",-1623500,4076500,1
"145",-1612500,4076500,1
"146",-1893500,4075500,1
"147",-1618500,4075500,1
"148",-1617500,4075500,1
"149",-1611500,4075500,1
"150",-1618500,4074500,1
"151",-1617500,4074500,1
"152",-1613500,4074500,1
"153",-1612500,4074500,1
"154",-1608500,4074500,1
"155",-1622500,4073500,1
"156",-1619500,4073500,1
"157",-1618500,4073500,1
"158",-1617500,4073500,1
"159",-1610500,4073500,1
"160",-1620500,4072500,1
"161",-1619500,4072500,1
"162",-1617500,4072500,1
"163",-1616500,4072500,1
"164",-1615500,4072500,1
"165",-1614500,4072500,1
"166",-1645500,4071500,1
"167",-1625500,4071500,1
"168",-1615500,4071500,1
"169",-1614500,4071500,1
"170",-1610500,4071500,1
"171",-1565500,4071500,1
"172",-1617500,4070500,1
"173",-1614500,4070500,1
"174",-1613500,4070500,1
"175",-1612500,4070500,1
"176",-1611500,4070500,1
"177",-1610500,4070500,1
"178",-1609500,4070500,1
"179",-1895500,4069500,1
"180",-1621500,4069500,1
"181",-1610500,4069500,1
"182",-1831500,4068500,1
"183",-1628500,4068500,1
"184",-1626500,4068500,1
"185",-1625500,4068500,1
"186",-1624500,4068500,1
"187",-1615500,4068500,1
"188",-1561500,4068500,1
"189",-1834500,4067500,1
"190",-1803500,4067500,1
"191",-1626500,4067500,1
"192",-1625500,4067500,1
"193",-1621500,4067500,1
"194",-1620500,4067500,1
"195",-1615500,4067500,1
"196",-1614500,4067500,1
"197",-1613500,4067500,1
"198",-1842500,4066500,1
"199",-1833500,4066500,1
"200",-1625500,4066500,1
"201",-1624500,4066500,1
"202",-1622500,4066500,1
"203",-1621500,4066500,1
"204",-1620500,4066500,1
"205",-1615500,4066500,1
"206",-1614500,4066500,1
"207",-1613500,4066500,1
"208",-1612500,4066500,1
"209",-1609500,4066500,1
"210",-1607500,4066500,1
"211",-1852500,4065500,1
"212",-1632500,4065500,1
"213",-1619500,4065500,1
"214",-1618500,4065500,1
"215",-1614500,4065500,1
