"","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"1",29656,"PRESENT",-65.999237,-28.032146
"2",31451,"PRESENT",-78.300965,-0.498804
"3",31451,"PRESENT",-78.318678,-0.540042
"4",31451,"PRESENT",-78.248162,-0.421043
"5",31451,"PRESENT",-78.245281,-0.589596
"6",25,"PRESENT",-73.52838,5.661988
"7",11,"PRESENT",-78.3193,-0.458124
"8",30025,"PRESENT",-65.24432,-24.947842
"9",31451,"PRESENT",-78.446485,-0.141861
"10",31444,"PRESENT",-78.568922,-1.758803
"11",31451,"PRESENT",-78.165687,-0.556971
"12",31451,"PRESENT",-78.25526,-0.559408
"13",31104,"PRESENT",-76.408609,-12.077115
"14",31104,"PRESENT",-76.420502,-12.141982
"15",31451,"PRESENT",-78.088632,-0.504909
"16",31451,"PRESENT",-78.211321,-0.298879
"17",4,"PRESENT",-78.2687,-0.49238
"18",4,"PRESENT",-78.3193,-0.458092
"19",31451,"PRESENT",-78.318802,-0.463649
"20",31451,"PRESENT",-78.351955,-0.419958
"21",31451,"PRESENT",-78.162591,0.334086
"22",29891,"PRESENT",-66.001483,-26.0638
"23",31451,"PRESENT",-78.289079,-0.347544
"24",31451,"PRESENT",-78.284252,-0.584115
"25",31451,"PRESENT",-78.28104,-0.483324
"26",31438,"PRESENT",-76.320127,2.205787
"27",29727,"PRESENT",-68.182234,-27.497117
"28",31451,"PRESENT",-78.397327,-0.517156
"29",30196,"PRESENT",-65.082486,-23.370062
"30",30196,"PRESENT",-65.000642,-23.3826
"31",30196,"PRESENT",-65.191831,-23.399689
"32",30196,"PRESENT",-65.039661,-23.359391
"33",30196,"PRESENT",-65.114019,-23.279031
"34",30196,"PRESENT",-65.111302,-23.27066
"35",30318,"PRESENT",-65.518658,-22.088551
"36",30196,"PRESENT",-64.801609,-23.399584
"37",5,"PRESENT",-78.495979,-0.594145
"38",NA,"PRESENT",-76.9235,-12.0078
"39",NA,"PRESENT",-78.767485,-1.443017
"40",30258,"PRESENT",-65.342552,-22.642092
"41",31451,"PRESENT",-78.277966,-0.501874
"42",31451,"PRESENT",-78.341222,-0.503514
"43",31451,"PRESENT",-78.387659,-0.597234
"44",31451,"PRESENT",-78.288355,-0.516219
"45",30025,"PRESENT",-65.212294,-24.970212
"46",31398,"PRESENT",-75.404198,4.720211
"47",1982403,"PRESENT",-72.749232,3.267658
"48",31451,"PRESENT",-78.330797,0.483033
"49",31451,"PRESENT",-78.011086,-0.317392
"50",31451,"PRESENT",-78.169647,-0.483211
"51",31451,"PRESENT",-78.141664,-0.455551
"52",31451,"PRESENT",-78.198352,-0.516254
"53",31451,"PRESENT",-78.148823,-0.428022
"54",31451,"PRESENT",-78.019232,-0.534882
"55",30913,"PRESENT",-75.21894,-15.146838
"56",5,"PRESENT",-78.323372,-0.456547
"57",15,"PRESENT",-78.324179,-0.454431
"58",32,"PRESENT",-78.330053,-0.455066
"59",16,"PRESENT",-78.319287,-0.458075
"60",16,"PRESENT",-78.247019,-0.295029
"61",3,"PRESENT",-78.246895,-0.294931
"62",31115,"PRESENT",-76.411039,-11.847484
"63",31057,"PRESENT",-74.830578,-12.888585
"64",31398,"PRESENT",-75.48594,4.604655
"65",31438,"PRESENT",-76.496217,2.239864
"66",30025,"PRESENT",-65.361341,-24.815983
"67",31451,"PRESENT",-78.328537,-0.561859
"68",30870,"PRESENT",-71.996056,-15.694674
"69",31451,"PRESENT",-78.479774,0.116922
"70",30795,"PRESENT",-67.626889,-16.687253
"71",31441,"PRESENT",-76.416051,2.178204
"72",31451,"PRESENT",-78.20583,-0.494471
"73",31451,"PRESENT",-78.182156,-0.4776
"74",31450,"PRESENT",-78.5637,-0.793104
"75",31451,"PRESENT",-78.511315,-0.542627
"76",31451,"PRESENT",-78.571309,-0.490858
"77",31450,"PRESENT",-78.585652,-0.651378
"78",31020,"PRESENT",-72.900511,-13.447444
"79",4,"PRESENT",-78.310944,-0.472637
"80",3,"PRESENT",-78.319267,-0.458112
"81",1,"PRESENT",-78.319283,-0.458102
"82",6,"PRESENT",-65.837494,-25.191799
"83",4,"PRESENT",-65.658363,-25.160646
"84",11,"PRESENT",-78.319366,-0.458093
"85",4,"PRESENT",-78.319283,-0.4581
"86",25,"PRESENT",-78.319232,-0.458115
"87",30810,"PRESENT",-67.916122,-16.560286
"88",31451,"PRESENT",-78.192641,-0.415245
"89",31451,"PRESENT",-78.187309,-0.423054
"90",30780,"PRESENT",-70.701776,-16.882506
"91",31451,"PRESENT",-78.310154,-0.253945
"92",30870,"PRESENT",-71.821976,-15.765202
"93",30870,"PRESENT",-71.884191,-15.798528
"94",760,"PRESENT",-78.182831,-0.377652
"95",3,"PRESENT",-71.904152,-15.611601
"96",31398,"PRESENT",-75.538616,4.650302
"97",30047,"PRESENT",-65.562156,-24.686065
"98",30683,"PRESENT",-64.938814,-18.068252
"99",30683,"PRESENT",-64.910617,-18.046467
"100",30870,"PRESENT",-71.896102,-15.748493
"101",31344,"PRESENT",-77.936403,-6.747774
"102",31398,"PRESENT",-75.443834,4.644516
"103",3,"PRESENT",-78.324707,-0.45958
"104",31032,"PRESENT",-72.334944,-13.299057
"105",31032,"PRESENT",-72.297254,-13.231921
"106",31020,"PRESENT",-73.058252,-13.456395
"107",55865,"PRESENT",-67.928678,-29.829557
"108",31451,"PRESENT",-78.396431,-0.534034
"109",31020,"PRESENT",-72.752841,-13.519632
"110",77962,"PRESENT",-72.158398,-15.684943
"111",77962,"PRESENT",-72.143577,-15.681683
"112",77962,"PRESENT",-72.00698,-15.68589
"113",30870,"PRESENT",-71.863531,-15.662062
"114",29704,"PRESENT",-67.094441,-27.743754
"115",29704,"PRESENT",-67.006472,-27.789644
"116",29775,"PRESENT",-66.993097,-27.001961
"117",30025,"PRESENT",-65.333132,-24.956228
"118",31115,"PRESENT",-76.555535,-11.855951
"119",30025,"PRESENT",-65.273485,-24.87111
"120",29981,"PRESENT",-65.945929,-25.303492
"121",30196,"PRESENT",-65.114012,-23.347761
"122",29751,"PRESENT",-65.844781,-27.313199
"123",31451,"PRESENT",-78.27682,-0.593316
"124",31451,"PRESENT",-78.285051,-0.523634
