"","x","y","Presence"
"1",-1719500,4725500,1
"2",-1721500,4722500,1
"3",-1713500,4722500,1
"4",-1712500,4722500,1
"5",-1715500,4721500,1
"6",-1714500,4721500,1
"7",-1646500,4713500,1
"8",-1727500,4711500,1
"9",-1693500,4704500,1
"10",-1696500,4703500,1
"11",-1693500,4703500,1
"12",-1692500,4703500,1
"13",-1701500,4702500,1
"14",-1700500,4702500,1
"15",-1690500,4701500,1
"16",-1672500,4701500,1
"17",-1685500,4699500,1
"18",-1549500,4696500,1
"19",-1631500,4690500,1
"20",-1640500,4679500,1
"21",-1610500,4678500,1
"22",-1570500,4668500,1
"23",-1569500,4668500,1
"24",-1572500,4663500,1
"25",-1571500,4663500,1
"26",-1570500,4662500,1
"27",-1569500,4662500,1
"28",-1574500,4661500,1
"29",-1569500,4661500,1
"30",-1566500,4661500,1
"31",-1577500,4660500,1
"32",-1576500,4660500,1
"33",-1572500,4660500,1
"34",-1571500,4660500,1
"35",-1569500,4660500,1
"36",-1568500,4660500,1
"37",-1567500,4660500,1
"38",-1579500,4659500,1
"39",-1569500,4659500,1
"40",-1571500,4658500,1
"41",-1565500,4634500,1
"42",-1567500,4633500,1
"43",-1571500,4629500,1
"44",-1572500,4625500,1
"45",-1570500,4625500,1
"46",-1580500,4623500,1
"47",-1600500,4581500,1
"48",-1599500,4578500,1
"49",-1308500,4528500,1
"50",-1304500,4528500,1
"51",-1296500,4527500,1
"52",-1299500,4526500,1
"53",-1303500,4525500,1
"54",-1304500,4524500,1
"55",-1365500,4497500,1
"56",-1330500,4492500,1
"57",-1563500,4410500,1
"58",-1558500,4399500,1
"59",-1556500,4399500,1
"60",-1545500,4366500,1
"61",-1545500,4355500,1
"62",-1498500,4354500,1
"63",-1539500,4352500,1
"64",-1537500,4352500,1
"65",-1509500,4352500,1
"66",-1542500,4351500,1
"67",-1530500,4351500,1
"68",-1529500,4343500,1
"69",-1510500,4330500,1
"70",-1513500,4326500,1
"71",-1514500,4325500,1
"72",-1517500,4322500,1
"73",-1515500,4320500,1
"74",-1517500,4319500,1
"75",-1516500,4319500,1
"76",-1515500,4319500,1
"77",-1514500,4319500,1
"78",-1516500,4318500,1
"79",-1519500,4315500,1
"80",-1516500,4314500,1
"81",-1517500,4312500,1
"82",-1514500,4311500,1
"83",-1518500,4310500,1
"84",-1517500,4309500,1
"85",-1515500,4309500,1
"86",-1504500,4308500,1
"87",-1502500,4306500,1
"88",-1528500,4294500,1
"89",-1502500,4291500,1
"90",-1530500,4286500,1
"91",-1466500,4280500,1
"92",-1444500,4280500,1
"93",-1468500,4275500,1
"94",-1468500,4274500,1
"95",-1459500,4274500,1
"96",-1471500,4273500,1
"97",-1469500,4273500,1
"98",-1482500,4266500,1
"99",-1478500,4266500,1
"100",-1469500,4266500,1
"101",-1467500,4265500,1
"102",-1507500,4258500,1
"103",-1867500,4234500,1
"104",-1848500,4213500,1
"105",-1845500,4212500,1
"106",-1515500,4183500,1
"107",-1600500,4178500,1
"108",-1597500,4178500,1
"109",-1527500,4172500,1
"110",-1758500,4129500,1
"111",-1645500,4100500,1
"112",-1819500,4096500,1
"113",-1813500,4095500,1
"114",-1781500,4095500,1
"115",-1830500,4094500,1
"116",-1810500,4092500,1
"117",-1807500,4091500,1
"118",-1805500,4091500,1
"119",-1829500,4090500,1
"120",-1817500,4090500,1
"121",-1806500,4090500,1
"122",-1805500,4090500,1
"123",-1823500,4089500,1
"124",-1805500,4089500,1
"125",-1812500,4088500,1
"126",-1806500,4088500,1
"127",-1617500,4088500,1
"128",-1807500,4087500,1
"129",-1819500,4086500,1
"130",-1811500,4086500,1
"131",-1808500,4086500,1
"132",-1807500,4086500,1
"133",-1808500,4085500,1
"134",-1807500,4085500,1
"135",-1805500,4085500,1
"136",-1790500,4085500,1
"137",-1825500,4084500,1
"138",-1824500,4084500,1
"139",-1808500,4084500,1
"140",-1807500,4084500,1
"141",-1824500,4083500,1
"142",-1807500,4083500,1
"143",-1806500,4083500,1
"144",-1615500,4083500,1
"145",-1823500,4082500,1
"146",-1822500,4082500,1
"147",-1821500,4082500,1
"148",-1807500,4082500,1
"149",-1800500,4082500,1
"150",-1629500,4082500,1
"151",-1822500,4081500,1
"152",-1821500,4081500,1
"153",-1819500,4081500,1
"154",-1807500,4081500,1
"155",-1805500,4081500,1
"156",-1798500,4081500,1
"157",-1817500,4080500,1
"158",-1808500,4080500,1
"159",-1796500,4080500,1
"160",-1630500,4080500,1
"161",-1818500,4079500,1
"162",-1816500,4079500,1
"163",-1804500,4079500,1
"164",-1794500,4079500,1
"165",-1785500,4079500,1
"166",-1632500,4079500,1
"167",-1628500,4079500,1
"168",-1816500,4078500,1
"169",-1815500,4078500,1
"170",-1809500,4078500,1
"171",-1797500,4078500,1
"172",-1796500,4078500,1
"173",-1794500,4078500,1
"174",-1839500,4077500,1
"175",-1815500,4077500,1
"176",-1807500,4077500,1
"177",-1625500,4077500,1
