"","X","key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier.1","http...unknown.org.nick","informationWithheld","verbatimEventDate","collectionCode","gbifID","verbatimLocality","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","occurrenceRemarks","lifeStage","infraspecificEpithet","sex","individualCount","elevation","elevationAccuracy","preparations","identifiedByIDs.type","identifiedByIDs.value","habitat","institutionID","higherGeography","nomenclaturalCode","verbatimCoordinateSystem","county","locality","language","type","disposition","vernacularName","locationID","organismRemarks","verbatimElevation","collectionID","higherClassification","parentNameUsage","sampleSizeUnit","sampleSizeValue","samplingProtocol","eventID","recordNumber","footprintWKT","georeferenceRemarks","eventRemarks","verbatimIdentification","footprintSRS","parentEventID","recordedByIDs.type","recordedByIDs.value","verbatimSRS","samplingEffort","municipality","ownerInstitutionCode","accessRights","projectId","organismQuantity","organismQuantityType","endDayOfYear","startDayOfYear","bibliographicCitation","reproductiveCondition","institutionKey","georeferencedDate","georeferencedBy","otherCatalogNumbers","verbatimTaxonRank","taxonRemarks","gadm","establishmentMeans","locationRemarks","waterBody","identificationRemarks","coordinatePrecision","dataGeneralizations","datasetID","previousIdentifications","programmeAcronym","fieldNotes","distanceFromCentroidInMeters","http...unknown.org.language","http...unknown.org.modified","originalNameUsage","identificationVerificationStatus","nameAccordingTo","dynamicProperties","organismScope","networkKeys","fieldNumber","locationAccordingTo","behavior","georeferenceSources","organismID","georeferenceVerificationStatus","associatedReferences","acceptedNameUsage","georeferenceProtocol","namePublishedInYear","acceptedNameUsageID","depth","depthAccuracy","collectionKey","rights","flags"
"1",1,4011936475,"Puma concolor (Linnaeus, 1771)",-31.253734,-61.264921,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:26:01.999+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2435099,1,44,359,732,9703,2435098,2435099,2435099,"Puma concolor (Linnaeus, 1771)","Animalia","Chordata","Carnivora","Felidae","Puma","Puma concolor","Puma","concolor","SPECIES","ACCEPTED","LC","2023-01-03T21:23:50",29252,"SOUTH_AMERICA","Santa Fe",2023,1,3,"2023-01-03T11:16:00","2023-01-20T13:27:27.000+00:00","2023-03-29T14:26:01.999+00:00","https://www.inaturalist.org/observations/145779884","http://creativecommons.org/licenses/by-nc/4.0/legalcode","145779884","none","none",FALSE,"iNaturalist research-grade observations","Andrés Pautasso","Andrés Pautasso","WGS84","Mammalia","AR","none","none","Argentina","Andrés Pautasso","145779884","andrespautasso","Coordinate uncertainty increased to 29252m to protect threatened taxon","2023/01/03 11:16 AM","Observations",4011936475,"Las Colonias, AR-SF, AR","https://www.inaturalist.org/observations/145779884","42007","145779884","iNaturalist","11:16:00-03:00","wild",324727720,"Puma concolor (Linnaeus, 1771)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"2",2,4022107750,"Puma concolor (Linnaeus, 1771)",-31.227854,-61.20159,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","AR","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:25:49.452+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2435099,1,44,359,732,9703,2435098,2435099,2435099,"Puma concolor (Linnaeus, 1771)","Animalia","Chordata","Carnivora","Felidae","Puma","Puma concolor","Puma","concolor","SPECIES","ACCEPTED","LC","2023-01-08T18:32:24",29252,"SOUTH_AMERICA","Santa Fe",2023,1,8,"2023-01-08T12:33:14","2023-03-08T22:58:56.000+00:00","2023-03-29T14:25:49.452+00:00","https://www.inaturalist.org/observations/146139077","http://creativecommons.org/licenses/by-nc/4.0/legalcode","146139077","none","none",FALSE,"iNaturalist research-grade observations","Andrés Pautasso","Andrés Pautasso","WGS84","Mammalia","AR","none","none","Argentina","Andrés Pautasso","146139077","andrespautasso","Coordinate uncertainty increased to 29252m to protect threatened taxon","2023-01-08 12:33:14","Observations",4022107750,"Las Colonias, AR-SF, AR","https://www.inaturalist.org/observations/146139077","42007","146139077","iNaturalist","12:33:14-03:00","wild",325823790,"Puma concolor (Linnaeus, 1771)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"3",3,4062903555,"Puma concolor (Linnaeus, 1771)",-13.184434,-71.460639,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:25:58.808+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2435099,1,44,359,732,9703,2435098,2435099,2435099,"Puma concolor (Linnaeus, 1771)","Animalia","Chordata","Carnivora","Felidae","Puma","Puma concolor","Puma","concolor","SPECIES","ACCEPTED","LC","2023-01-19T18:49:53",31045,"SOUTH_AMERICA","Cusco",2023,1,18,"2023-01-18T16:27:00","2023-03-13T03:21:56.000+00:00","2023-03-29T14:25:58.808+00:00","https://www.inaturalist.org/observations/146904558","http://creativecommons.org/publicdomain/zero/1.0/legalcode","146904558","none","none",FALSE,"iNaturalist research-grade observations","Jens N. Lallensack","Jens N. Lallensack","WGS84","Mammalia","PE","none","none","Peru","Jens N. Lallensack","146904558","agujaceratops","Coordinate uncertainty increased to 31045m to protect threatened taxon","2023/01/18 4:27 PM","Observations",4062903555,"Paucartambo, PE-CS, PE","https://www.inaturalist.org/observations/146904558","42007","146904558","iNaturalist","16:27:00-05:00","wild",328278288,"Puma concolor (Linnaeus, 1771)","?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"4",4,4022253694,"Puma concolor (Linnaeus, 1771)",-21.404255,-48.571315,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:26:04.728+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2435099,1,44,359,732,9703,2435098,2435099,2435099,"Puma concolor (Linnaeus, 1771)","Animalia","Chordata","Carnivora","Felidae","Puma","Puma concolor","Puma","concolor","SPECIES","ACCEPTED","LC","2023-01-23T17:11:15",30377,"SOUTH_AMERICA","São Paulo",2023,1,22,"2023-01-22T08:11:00","2023-01-24T02:05:10.000+00:00","2023-03-29T14:26:04.728+00:00","https://www.inaturalist.org/observations/147163815","http://creativecommons.org/licenses/by-nc/4.0/legalcode","147163815","none","none",FALSE,"iNaturalist research-grade observations","João Vitor Oliveira de Souza","Jaime Marcelo Aranda Sánchez","WGS84","Mammalia","BR","none","none","Brazil","João Vitor Oliveira de Souza","147163815","jvitor_os","Coordinate uncertainty increased to 30377m to protect threatened taxon","2023/01/22 8:11 AM","Observations",4022253694,"São Paulo, BR","https://www.inaturalist.org/observations/147163815","42007","147163815","iNaturalist","08:11:00-03:00","wild",329143399,"Puma concolor (Linnaeus, 1771)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"5",5,4029028740,"Puma concolor (Linnaeus, 1771)",-20.596259,-50.44091,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:26:01.345+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2435099,1,44,359,732,9703,2435098,2435099,2435099,"Puma concolor (Linnaeus, 1771)","Animalia","Chordata","Carnivora","Felidae","Puma","Puma concolor","Puma","concolor","SPECIES","ACCEPTED","LC","2023-01-28T21:05:44",30472,"SOUTH_AMERICA","São Paulo",2023,1,27,"2023-01-27T15:19:39","2023-01-29T23:31:14.000+00:00","2023-03-29T14:26:01.345+00:00","https://www.inaturalist.org/observations/147557748","http://creativecommons.org/licenses/by/4.0/legalcode","147557748","none","none",FALSE,"iNaturalist research-grade observations","Márcia Cristina Martins da Silva","Márcia Cristina Martins da Silva","WGS84","Mammalia","BR","none","none","Brazil","Márcia Cristina Martins da Silva","147557748","marcia_martins","Coordinate uncertainty increased to 30472m to protect threatened taxon","2023-01-27 15:19:39","Observations",4029028740,"São Paulo, BR","https://www.inaturalist.org/observations/147557748","42007","147557748","iNaturalist","15:19:39-03:00","wild",330246600,"Puma concolor (Linnaeus, 1771)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"6",6,4029104945,"Puma concolor (Linnaeus, 1771)",-50.824401,-72.770723,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:26:06.812+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2435099,1,44,359,732,9703,2435098,2435099,2435099,"Puma concolor (Linnaeus, 1771)","Animalia","Chordata","Carnivora","Felidae","Puma","Puma concolor","Puma","concolor","SPECIES","ACCEPTED","LC","2023-02-03T05:10:57",26293,"SOUTH_AMERICA","Magallanes y Antártica Chilena",2023,1,9,"2023-01-09T18:31:54","2023-03-14T18:18:46.000+00:00","2023-03-29T14:26:06.812+00:00","https://www.inaturalist.org/observations/147932104","http://creativecommons.org/licenses/by-nc/4.0/legalcode","147932104","none","none",FALSE,"iNaturalist research-grade observations","Brendan Fogarty","Brendan Fogarty","WGS84","Mammalia","CL","none","none","Chile","Brendan Fogarty","147932104","bfogarty","Coordinate uncertainty increased to 26293m to protect threatened taxon","2023-01-09 17:31:54-04:00","Observations",4029104945,"Última Esperanza, CL-MA, CL","https://www.inaturalist.org/observations/147932104","42007","147932104","iNaturalist","18:31:54-03:00","wild",331454137,"Puma concolor (Linnaeus, 1771)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"7",7,4034816706,"Puma concolor concolor",-50.94125,-72.930613,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:26:07.069+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",7193927,1,44,359,732,9703,2435098,2435099,7193927,"Puma concolor concolor","Animalia","Chordata","Carnivora","Felidae","Puma","Puma concolor","Puma","concolor","SUBSPECIES","ACCEPTED",NA,"2023-02-08T10:11:04",26293,"SOUTH_AMERICA","Magallanes y Antártica Chilena",2023,1,23,"2023-01-23T20:10:38","2023-03-14T18:17:55.000+00:00","2023-03-29T14:26:07.069+00:00","https://www.inaturalist.org/observations/148309134","http://creativecommons.org/licenses/by/4.0/legalcode","148309134","none","none",FALSE,"iNaturalist research-grade observations","My-Lan Le","My-Lan Le","WGS84","Mammalia","CL","none","none","Chile","My-Lan Le","148309134","mylan","Coordinate uncertainty increased to 26293m to protect threatened taxon","2023-01-23 20:10:38","Observations",4034816706,"Torres del Paine, CL-AI-CP, CL-MA, CL","https://www.inaturalist.org/observations/148309134","559645","148309134","iNaturalist","20:10:38-03:00","wild",332566102,"Puma concolor concolor","Walked through camp, ignoring campers and walked up the hill, zig-zagging slowly and stopping in the brush.","Adult","concolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"8",8,4046765671,"Puma concolor (Linnaeus, 1771)",-37.537005,-67.163125,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","AR","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:11:02.422+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2435099,1,44,359,732,9703,2435098,2435099,2435099,"Puma concolor (Linnaeus, 1771)","Animalia","Chordata","Carnivora","Felidae","Puma","Puma concolor","Puma","concolor","SPECIES","ACCEPTED","LC","2023-02-17T00:32:07",28388,"SOUTH_AMERICA","La Pampa",2023,2,15,"2023-02-15T08:45:00","2023-03-14T18:13:43.000+00:00","2023-03-29T14:11:02.422+00:00","https://www.inaturalist.org/observations/148935568","http://creativecommons.org/licenses/by-nc/4.0/legalcode","148935568","none","none",FALSE,"iNaturalist research-grade observations","dpincen","dpincen","WGS84","Mammalia","AR","none","none","Argentina","dpincen","148935568","dpincen","Coordinate uncertainty increased to 28388m at the request of the observer","2023-02-15 08:45:00","Observations",4046765671,"La Pampa, AR","https://www.inaturalist.org/observations/148935568","42007","148935568","iNaturalist","08:45:00-03:00","wild",334524432,"Puma concolor (Linnaeus, 1771)","Juvenil que fue ""cazado"" hace aproximadamente una semana antes de que se tome la foto.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"9",9,4039402084,"Puma concolor (Linnaeus, 1771)",-37.277306,-59.105837,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:26:03.734+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2435099,1,44,359,732,9703,2435098,2435099,2435099,"Puma concolor (Linnaeus, 1771)","Animalia","Chordata","Carnivora","Felidae","Puma","Puma concolor","Puma","concolor","SPECIES","ACCEPTED","LC","2023-02-20T14:31:35",28417,"SOUTH_AMERICA","Buenos Aires",2023,2,7,"2023-02-07T20:20:00","2023-02-23T00:46:02.000+00:00","2023-03-29T14:26:03.734+00:00","https://www.inaturalist.org/observations/149096222","http://creativecommons.org/licenses/by-nc/4.0/legalcode","149096222","none","none",FALSE,"iNaturalist research-grade observations","Eric Cormier","Eric Cormier","WGS84","Mammalia","AR","none","none","Argentina","Eric Cormier","149096222","brownthrasher33","Coordinate uncertainty increased to 28417m to protect threatened taxon","2023/02/07 8:20 PM","Observations",4039402084,"Tandil, AR-BA, AR","https://www.inaturalist.org/observations/149096222","42007","149096222","iNaturalist","20:20:00-03:00","wild",335460039,"Puma concolor (Linnaeus, 1771)",NA,"Juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
"10",10,4039561604,"Puma concolor (Linnaeus, 1771)",-16.958294,-50.393548,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2023-03-28T11:22:53.478+00:00","2023-03-29T14:26:02.165+00:00",352,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",2435099,1,44,359,732,9703,2435098,2435099,2435099,"Puma concolor (Linnaeus, 1771)","Animalia","Chordata","Carnivora","Felidae","Puma","Puma concolor","Puma","concolor","SPECIES","ACCEPTED","LC","2023-02-19T13:40:53",30780,"SOUTH_AMERICA","Goiás",2023,2,7,"2023-02-07T12:00:00","2023-02-20T20:32:11.000+00:00","2023-03-29T14:26:02.165+00:00","https://www.inaturalist.org/observations/149130171","http://creativecommons.org/licenses/by-nc/4.0/legalcode","149130171","none","none",FALSE,"iNaturalist research-grade observations","Thiago Zoologia","Thiago Zoologia","WGS84","Mammalia","BR","none","none","Brazil","Thiago Zoologia","149130171","thiagozoologia","Coordinate uncertainty increased to 30780m to protect threatened taxon","2023-02-07 12:00:00","Observations",4039561604,"Goiás, BR","https://www.inaturalist.org/observations/149130171","42007","149130171","iNaturalist","12:00:00-03:00","wild",335190040,"Puma concolor (Linnaeus, 1771)","Puma concolor fêmea (possivelmente grávida)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRUE"
