"","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","occurrenceStatus"
"1",-71.460639,-13.184434,31045,"PRESENT"
"2",-48.571315,-21.404255,30377,"PRESENT"
"3",-50.44091,-20.596259,30472,"PRESENT"
"4",-50.393548,-16.958294,30780,"PRESENT"
"5",-42.491226,-22.716053,30258,"PRESENT"
"6",-76.437317,-0.542883,8,"PRESENT"
"7",-73.752016,11.127258,31158,"PRESENT"
"8",-51.509638,-22.134604,30318,"PRESENT"
"9",-76.55682,3.44809,NA,"PRESENT"
"10",-73.864766,7.243772,NA,"PRESENT"
"11",-73.325093,5.113944,NA,"PRESENT"
"12",-76.223,1.71827,NA,"PRESENT"
"13",-79.198134,0.636505,NA,"PRESENT"
"14",-79.195798,0.635678,NA,"PRESENT"
"15",-54.122509,-25.82644,29913,"PRESENT"
"16",-48.201239,-15.480092,30885,"PRESENT"
"17",-48.569853,-20.113684,30508,"PRESENT"
"18",-76.21844,1.67569,NA,"PRESENT"
"19",-72.558687,11.133323,31158,"PRESENT"
"20",-55.957286,-9.347767,31245,"PRESENT"
"21",-68.85243,5.864861,31368,"PRESENT"
"22",-76.2173,1.67388,NA,"PRESENT"
"23",-49.394641,-28.021629,29656,"PRESENT"
"24",-48.957865,-26.181359,29891,"PRESENT"
"25",-71.136748,-29.225976,29508,"PRESENT"
"26",-48.383027,-15.440013,30885,"PRESENT"
"27",-43.973278,-19.927326,30527,"PRESENT"
"28",-47.432742,-22.549311,30278,"PRESENT"
"29",-59.227752,-26.440173,29845,"PRESENT"
"30",-77.758215,-1.803879,29852,"PRESENT"
"31",-48.121713,-21.700079,30357,"PRESENT"
"32",-46.527656,-18.666968,30632,"PRESENT"
"33",-65.22656,-24.976288,30025,"PRESENT"
"34",-71.036135,-29.300479,29508,"PRESENT"
"35",-48.304107,-15.472616,30885,"PRESENT"
"36",-48.371715,-15.420135,30885,"PRESENT"
"37",-48.217473,-15.546577,30885,"PRESENT"
"38",-56.981624,-19.426673,30562,"PRESENT"
"39",-76.22419,1.71725,NA,"PRESENT"
"40",-48.004731,-21.742306,30357,"PRESENT"
"41",-56.749977,-17.229545,30748,"PRESENT"
"42",-48.045707,-21.768809,30357,"PRESENT"
"43",-78.036081,-1.423637,20,"PRESENT"
"44",-72.643251,11.176357,31158,"PRESENT"
"45",-48.149133,-21.75232,30357,"PRESENT"
"46",-65.244602,-24.981354,30025,"PRESENT"
"47",-78.815355,-0.307747,28,"PRESENT"
"48",-43.856859,-19.898766,30527,"PRESENT"
"49",-75.458477,7.97166,31302,"PRESENT"
"50",-79.173693,0.615848,NA,"PRESENT"
"51",-48.680972,-20.389512,30490,"PRESENT"
"52",-48.190249,-21.767742,30357,"PRESENT"
"53",-71.649448,-13.599947,31020,"PRESENT"
"54",-68.885377,5.925501,31368,"PRESENT"
"55",-79.173852,0.615728,NA,"PRESENT"
"56",-79.176094,0.615756,NA,"PRESENT"
"57",-71.78218,5.31698,30,"PRESENT"
"58",-43.053068,-22.538161,30278,"PRESENT"
"59",-78.810334,-0.30676,8,"PRESENT"
"60",-48.135086,-21.786682,30357,"PRESENT"
"61",-72.404601,11.15424,31158,"PRESENT"
"62",-47.509946,-22.388593,30298,"PRESENT"
"63",-60.338086,-22.361575,200,"PRESENT"
"64",-54.472162,-25.614925,29936,"PRESENT"
"65",-79.176509,0.615855,NA,"PRESENT"
"66",-79.199272,0.642348,NA,"PRESENT"
"67",-78.61208,0.118406,120,"PRESENT"
"68",-78.254,-0.485,30,"PRESENT"
"69",-48.177543,-21.636058,30357,"PRESENT"
"70",-75.579562,6.112701,NA,"PRESENT"
"71",-79.184823,0.611998,NA,"PRESENT"
"72",-48.163072,-21.68806,30357,"PRESENT"
"73",-54.475125,-25.60796,29936,"PRESENT"
"74",-68.634713,5.849646,31368,"PRESENT"
"75",-48.096776,-21.764949,30357,"PRESENT"
"76",-71.393119,-29.236366,29508,"PRESENT"
"77",-71.341514,-29.243603,29508,"PRESENT"
"78",-42.17121,-22.486581,30278,"PRESENT"
"79",-75.477516,7.839505,31302,"PRESENT"
"80",-79.170067,0.612804,NA,"PRESENT"
"81",-79.198288,0.655201,NA,"PRESENT"
"82",-68.892986,5.89622,31368,"PRESENT"
"83",-43.823636,-19.931514,30527,"PRESENT"
"84",-52.897942,-18.149744,30683,"PRESENT"
"85",-47.502295,-22.54476,30278,"PRESENT"
"86",-58.615794,4.486941,31403,"PRESENT"
"87",-77.165965,7.836756,31302,"PRESENT"
"88",-48.197151,-21.749275,30357,"PRESENT"
"89",-48.025874,-21.625235,30357,"PRESENT"
"90",-79.181181,0.613025,NA,"PRESENT"
"91",-79.186683,0.624964,NA,"PRESENT"
"92",-79.175546,0.615798,NA,"PRESENT"
"93",-47.578871,-22.455959,30278,"PRESENT"
"94",-44.656997,-19.886578,30527,"PRESENT"
"95",-41.969592,-20.415195,30472,"PRESENT"
"96",-45.129991,-23.469356,30175,"PRESENT"
"97",-47.530175,-22.569805,30278,"PRESENT"
"98",-75.264519,6.666446,31344,"PRESENT"
"99",-74.244254,6.66374,31344,"PRESENT"
"100",-75.1374,9.97475,NA,"PRESENT"
"101",-79.170488,0.614678,NA,"PRESENT"
"102",-61.642683,-25.996414,29913,"PRESENT"
"103",-74.278029,6.701671,31344,"PRESENT"
"104",-74.232065,6.617651,31344,"PRESENT"
"105",-74.371816,6.657058,31344,"PRESENT"
"106",-74.326233,6.719824,31344,"PRESENT"
"107",-73.825688,7.33124,NA,"PRESENT"
"108",-79.185858,0.623893,NA,"PRESENT"
"109",-79.190358,0.631107,NA,"PRESENT"
"110",-69.959182,6.7381,NA,"PRESENT"
"111",-70.011018,6.776045,NA,"PRESENT"
"112",-70.012208,6.774928,NA,"PRESENT"
"113",-70.000965,6.775402,NA,"PRESENT"
"114",-70.159125,6.751625,NA,"PRESENT"
"115",-70.173088,6.754248,NA,"PRESENT"
"116",-70.235692,6.74157,NA,"PRESENT"
"117",-45.109818,-23.303939,30196,"PRESENT"
"118",-75.7353,4.924807,31394,"PRESENT"
"119",-75.17895,9.91575,NA,"PRESENT"
"120",-79.178375,0.617388,NA,"PRESENT"
"121",-79.15749,0.618585,NA,"PRESENT"
"122",-72.640815,11.069067,31158,"PRESENT"
"123",-76.44956,0.92876,NA,"PRESENT"
"124",-73.831283,7.341893,NA,"PRESENT"
"125",-73.840485,7.369537,NA,"PRESENT"
"126",-79.178175,0.617088,NA,"PRESENT"
"127",-48.138444,-15.533063,30885,"PRESENT"
"128",-52.420518,3.901709,31415,"PRESENT"
"129",-76.45416,0.93458,NA,"PRESENT"
"130",-79.170463,0.616316,NA,"PRESENT"
"131",-50.301477,-22.070112,30318,"PRESENT"
"132",-49.03835,-27.626293,29704,"PRESENT"
"133",-47.613545,-22.333771,30298,"PRESENT"
"134",-72.712862,10.912883,31169,"PRESENT"
"135",-47.556087,-22.388162,30298,"PRESENT"
"136",-53.812883,-26.908376,29798,"PRESENT"
"137",-79.175957,0.634915,NA,"PRESENT"
"138",-79.175312,0.640368,NA,"PRESENT"
