"","X","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"1",1,29656,"PRESENT",-560275.514455259,450589.029254845
"2",2,31451,"PRESENT",-2083862.47773153,3473199.39436187
"3",3,31451,"PRESENT",-2085332.83121683,3468540.66951132
"4",4,31451,"PRESENT",-2078886.9425139,3482247.41395497
"5",5,31451,"PRESENT",-2076375.31960221,3464242.69487624
"6",6,25,"PRESENT",-1600215.59202174,4178875.63631638
"7",7,11,"PRESENT",-2086469.46276879,3477300.90080748
"8",8,30025,"PRESENT",-502266.536001753,813048.455429599
"9",9,31451,"PRESENT",-2105023.59966605,3509351.40250458
"10",10,31444,"PRESENT",-2097538.19176388,3334126.11811185
"11",11,31451,"PRESENT",-2067781.88592032,3468826.18994039
"12",12,31451,"PRESENT",-2077897.19792821,3467338.88604931
"13",13,31104,"PRESENT",-1730057.78345282,2218338.0765975
"14",14,31104,"PRESENT",-1730506.32774422,2210849.81232972
"15",15,31451,"PRESENT",-2059721.65892257,3475451.34708614
"16",16,31451,"PRESENT",-2076289.38088014,3495819.65690852
"17",17,4,"PRESENT",-2080289.72946338,3474330.74746729
"18",18,4,"PRESENT",-2086469.87914734,3477304.32534764
"19",19,31451,"PRESENT",-2086341.12922934,3476716.48502157
"20",20,31451,"PRESENT",-2090668.00211703,3480934.31419849
"21",21,31451,"PRESENT",-2078902.21925935,3564035.24548992
"22",22,29891,"PRESENT",-569589.529155445,680141.363925841
"23",23,31451,"PRESENT",-2084480.13917766,3489547.24629854
"24",24,31451,"PRESENT",-2080860.14557166,3464294.7101722
"25",25,31451,"PRESENT",-2081805.72186087,3475130.48975302
"26",26,31438,"PRESENT",-1890343.08098879,3786489.74305169
"27",27,29727,"PRESENT",-767364.816575108,503371.224575431
"28",28,31451,"PRESENT",-2094541.34671045,3469905.18809936
"29",29,30196,"PRESENT",-492954.079101264,997680.09643198
"30",30,30196,"PRESENT",-484969.807799321,996481.91554283
"31",31,30196,"PRESENT",-503437.868642483,993864.39664623
"32",32,30196,"PRESENT",-488843.04711409,999063.695794985
"33",33,30196,"PRESENT",-496370.400267883,1008195.15011251
"34",34,30196,"PRESENT",-496139.736162606,1009180.43950051
"35",35,30318,"PRESENT",-540692.754047251,1145600.35059572
"36",36,30196,"PRESENT",-465609.188412379,995125.574772456
"37",37,5,"PRESENT",-2104705.43146645,3460293.94337041
"38",38,NA,"PRESENT",-1785005.85527696,2220214.25872789
"39",39,NA,"PRESENT",-2124091.78743878,3365374.17864738
"40",40,30258,"PRESENT",-521166.946755596,1081701.51514183
"41",41,31451,"PRESENT",-2081216.47665951,3473187.10719676
"42",42,31451,"PRESENT",-2088362.7134948,3472140.53541248
"43",43,31451,"PRESENT",-2092399.5706355,3461464.50265356
"44",44,31451,"PRESENT",-2082207.29191983,3471508.58679667
"45",45,30025,"PRESENT",-499110.314630739,810543.670041757
"46",46,31398,"PRESENT",-1811459.33194514,4060440.74562651
