"","x","y","Presence"
"1",-1542500,4744500,1
"2",-1513500,4744500,1
"3",-1706500,4743500,1
"4",-1723500,4740500,1
"5",-1531500,4740500,1
"6",-1533500,4738500,1
"7",-1541500,4733500,1
"8",-1676500,4727500,1
"9",-1552500,4726500,1
"10",-1548500,4717500,1
"11",-1835500,4668500,1
"12",-1847500,4667500,1
"13",-1671500,4627500,1
"14",-1833500,4597500,1
"15",-1829500,4594500,1
"16",-1834500,4592500,1
"17",-1838500,4590500,1
"18",-1872500,4552500,1
"19",-1672500,4455500,1
"20",-1766500,4437500,1
"21",-1876500,4423500,1
"22",-1851500,4392500,1
"23",-2072500,4389500,1
"24",-1938500,4384500,1
"25",-1937500,4384500,1
"26",-1937500,4383500,1
"27",-1852500,4378500,1
"28",-2044500,4359500,1
"29",-2050500,4358500,1
"30",-2054500,4356500,1
"31",-1653500,4350500,1
"32",-1639500,4348500,1
"33",-1651500,4347500,1
"34",-1650500,4346500,1
"35",-1654500,4337500,1
"36",-1660500,4336500,1
"37",-1589500,4328500,1
"38",-1596500,4327500,1
"39",-1192500,4325500,1
"40",-1191500,4325500,1
"41",-1712500,4324500,1
"42",-1712500,4323500,1
"43",-1638500,4322500,1
"44",-1611500,4322500,1
"45",-1211500,4322500,1
"46",-1209500,4322500,1
"47",-1186500,4322500,1
"48",-1711500,4321500,1
"49",-1594500,4321500,1
"50",-1309500,4321500,1
"51",-1277500,4320500,1
"52",-1218500,4320500,1
"53",-1214500,4317500,1
"54",-1958500,4314500,1
"55",-2049500,4313500,1
"56",-1857500,4312500,1
"57",-1651500,4311500,1
"58",-851500,4310500,1
"59",-1870500,4304500,1
"60",-1711500,4304500,1
"61",-1692500,4304500,1
"62",-1704500,4303500,1
"63",-1869500,4302500,1
"64",-1598500,4297500,1
"65",-1599500,4296500,1
"66",-1598500,4296500,1
"67",-1710500,4293500,1
"68",-1692500,4293500,1
"69",-1598500,4293500,1
"70",-1165500,4292500,1
"71",-1599500,4288500,1
"72",-1709500,4287500,1
"73",-1599500,4287500,1
"74",-1951500,4286500,1
"75",-1902500,4286500,1
"76",-1599500,4286500,1
"77",-1870500,4283500,1
"78",-1704500,4282500,1
"79",-1692500,4281500,1
"80",-1684500,4279500,1
"81",-1683500,4279500,1
"82",-1704500,4278500,1
"83",-1684500,4278500,1
"84",-1698500,4277500,1
"85",-1697500,4277500,1
"86",-921500,4277500,1
"87",-918500,4277500,1
"88",-978500,4276500,1
"89",-1874500,4275500,1
"90",-1699500,4275500,1
"91",-1153500,4275500,1
"92",-920500,4275500,1
"93",-1710500,4274500,1
"94",-1694500,4273500,1
"95",-1422500,4273500,1
"96",-1676500,4272500,1
"97",-916500,4272500,1
"98",-1709500,4271500,1
"99",-1693500,4271500,1
"100",-915500,4271500,1
"101",-917500,4270500,1
"102",-1878500,4269500,1
"103",-1692500,4269500,1
"104",-1681500,4269500,1
"105",-1398500,4269500,1
"106",-937500,4269500,1
"107",-1867500,4268500,1
"108",-1866500,4268500,1
"109",-1877500,4265500,1
"110",-1823500,4265500,1
"111",-1815500,4262500,1
"112",-1865500,4259500,1
"113",-1866500,4257500,1
"114",-1864500,4255500,1
"115",-1680500,4255500,1
"116",-1204500,4255500,1
"117",-1867500,4254500,1
"118",-954500,4254500,1
"119",-979500,4250500,1
"120",-1969500,4249500,1
"121",-978500,4248500,1
"122",-1053500,4246500,1
"123",-1755500,4245500,1
"124",-975500,4245500,1
"125",-930500,4244500,1
"126",-1054500,4243500,1
"127",-971500,4243500,1
"128",-970500,4242500,1
"129",-967500,4242500,1
