"","elevation","x","y","Presence"
"11392",2078,-1599000,4202000,0
"76099",217,-1599000,2562000,0
"94495",277,-999000,2152000,0
"28388",16,-2169000,3632000,0
"88088",481,-1289000,2302000,0
"81700",407,-1929000,2442000,0
"97343",2909,-1059000,2082000,0
"5063",380,-1699000,4462000,0
"56458",702,-1999000,2962000,0
"77519",258,-1619000,2532000,0
"77025",2705,-1829000,2542000,0
"81254",3896,-1749000,2452000,0
"2754",32,-1539000,4582000,0
"68360",159,-1659000,2722000,0
"8248",71,-1679000,4322000,0
"19141",1008,-1899000,3922000,0
"34876",230,-2279000,3452000,0
"57908",826,-2069000,2932000,0
"19999",1113,-1979000,3892000,0
"31517",453,-2179000,3542000,0
"72227",3438,-1909000,2642000,0
"24111",69,-2069000,3762000,0
"38931",978,-2019000,3352000,0
"4023",28,-1679000,4512000,0
"99709",4201,-1219000,2022000,0
"66380",385,-1819000,2762000,0
"3259",69,-1689000,4552000,0
"45664",207,-1949000,3192000,0
"98897",4274,-1459000,2042000,0
"75619",272,-1639000,2572000,0
"6200",1465,-1449000,4412000,0
"92818",302,-1109000,2192000,0
"53549",2006,-2089000,3022000,0
"9491",1260,-1419000,4272000,0
"4240",60,-1539000,4502000,0
"16867",451,-1769000,4002000,0
"54992",1649,-2109000,2992000,0
"52116",981,-2079000,3052000,0
"83106",4199,-1719000,2412000,0
"47443",20,-2219000,3152000,0
"76560",1042,-1739000,2552000,0
"6819",415,-2059000,4382000,0
"5087",93,-1459000,4462000,0
"68347",504,-1789000,2722000,0
"12229",225,-1439000,4172000,0
"71280",391,-1669000,2662000,0
"14919",1452,-1699000,4072000,0
"19752",216,-1549000,3902000,0
"28432",231,-1729000,3632000,0
"76567",339,-1669000,2552000,0
"31537",878,-1979000,3542000,0
"9699",911,-1949000,4262000,0
"10808",1938,-1919000,4222000,0
"94029",2766,-1509000,2162000,0
"14358",1345,-1879000,4092000,0
"22825",360,-1689000,3802000,0
"100532",1009,-829000,2002000,0
"63340",-3,-2289000,2822000,0
"5060",19,-1729000,4462000,0
"88035",1120,-1819000,2302000,0
"14393",322,-1529000,4092000,0
"96542",744,-1009000,2102000,0
"8711",830,-1879000,4302000,0
"14645",1497,-1719000,4082000,0
"39750",1116,-2039000,3332000,0
"68353",359,-1729000,2722000,0
"6431",513,-1409000,4402000,0
"6852",825,-1729000,4382000,0
"15438",33,-1989000,4052000,0
"102061",4100,-1079000,1962000,0
"80775",3323,-1889000,2462000,0
"25774",1213,-1989000,3712000,0
"29061",2510,-2079000,3612000,0
"75582",542,-2009000,2572000,0
"64894",304,-1799000,2792000,0
"7980",872,-1959000,4332000,0
"22807",2443,-1869000,3802000,0
"67333",32,-2139000,2742000,0
"34503",3752,-2109000,3462000,0
"50695",1422,-2069000,3082000,0
"23114",5,-2099000,3792000,0
"34874",387,-2299000,3452000,0
"34905",768,-1989000,3452000,0
"99713",3664,-1179000,2022000,0
"16901",174,-1429000,4002000,0
"98115",3279,-1339000,2062000,0
"1094",76,-1489000,4682000,0
"60352",1417,-2079000,2882000,0
"33752",319,-1909000,3482000,0
"7975",11,-2009000,4332000,0
"109209",213,-459000,1772000,0
"19993",0,-2039000,3892000,0
"62871",1802,-1929000,2832000,0
"31156",198,-2199000,3552000,0
"21531",679,-1809000,3842000,0
"100123",4348,-999000,2012000,0
"96939",3616,-1079000,2092000,0
"65359",266,-2119000,2782000,0
"32970",457,-2189000,3502000,0
"85372",3946,-1799000,2362000,0
"81260",3423,-1689000,2452000,0
"100486",4568,-1289000,2002000,0
"89416",337,-1079000,2272000,0
"40966",20,-2189000,3302000,0
"29091",236,-1779000,3612000,0
"38521",938,-2019000,3362000,0
"16578",2175,-1809000,4012000,0
"57910",1050,-2049000,2932000,0
"85872",579,-1289000,2352000,0
"91960",3661,-1269000,2212000,0
"79878",639,-1529000,2482000,0
"64852",-3,-2219000,2792000,0
"78001",174,-1519000,2522000,0
"81252",3544,-1769000,2452000,0
"13270",2502,-1879000,4132000,0
"789",4616,-1669000,4702000,0
"44781",3106,-2079000,3212000,0
"75112",3439,-1929000,2582000,0
"35295",946,-2009000,3442000,0
"468",18,-1359000,4732000,0
"76084",933,-1749000,2562000,0
"40156",3180,-2089000,3322000,0
"1582",76,-1499000,4652000,0
"10523",98,-1989000,4232000,0
"26103",1250,-2019000,3702000,0
"93601",4677,-1639000,2172000,0
"95687",2373,-1409000,2122000,0
"22458",8,-2089000,3812000,0
