"","elevation","x","y","Presence"
"103182",4387,-1419000,1932000,0
"100975",243,-299000,1992000,0
"98137",4769,-1119000,2062000,0
"14642",284,-1749000,4082000,0
"109498",4876,-1119000,1762000,0
"146211",406,-469000,412000,0
"98141",5107,-1079000,2062000,0
"132954",303,-389000,1002000,0
"107721",3815,-949000,1812000,0
"66364",3293,-1979000,2762000,0
"98536",4754,-1099000,2052000,0
"150081",1125,-779000,222000,0
"45637",12,-2219000,3192000,0
"105079",1284,-1469000,1882000,0
"30100",2206,-1999000,3582000,0
"96544",808,-989000,2102000,0
"19426",953,-1919000,3912000,0
"134838",3670,-559000,932000,0
"48824",2709,-2149000,3122000,0
"148858",1231,-1029000,282000,0
"110545",2612,-1149000,1732000,0
"57911",589,-2039000,2932000,0
"122396",3660,-749000,1362000,0
"138998",3591,-709000,752000,0
"107688",772,-1279000,1812000,0
"132937",3787,-559000,1002000,0
"102021",3716,-1479000,1962000,0
"101694",1362,-879000,1972000,0
"110595",3419,-649000,1732000,0
"91119",458,-1199000,2232000,0
"115221",1985,-1009000,1592000,0
"5079",326,-1539000,4462000,0
"18001",3264,-1869000,3962000,0
"40979",1856,-2059000,3302000,0
"43918",3902,-2139000,3232000,0
"124802",4252,-869000,1282000,0
"126338",783,-379000,1232000,0
"4466",3377,-1339000,4492000,0
"108827",4108,-719000,1782000,0
"111922",4378,-1069000,1692000,0
"145752",4241,-859000,432000,0
"149285",1023,-779000,262000,0
"81241",4580,-1879000,2452000,0
"122077",4232,-889000,1372000,0
"142848",367,-479000,572000,0
"117129",3975,-949000,1532000,0
"74156",3822,-1919000,2602000,0
"101256",4504,-1379000,1982000,0
"127222",436,-329000,1202000,0
"149689",1271,-729000,242000,0
"15753",3373,-1619000,4042000,0
"147646",3678,-809000,342000,0
"134303",5592,-739000,952000,0
"17143",2336,-1859000,3992000,0
"131518",4931,-649000,1052000,0
"76548",3719,-1859000,2552000,0
"78000",170,-1529000,2522000,0
"139850",4342,-839000,712000,0
"102455",4302,-999000,1952000,0
"112309",3643,-559000,1682000,0
"77486",1042,-1949000,2532000,0
"133491",3408,-569000,982000,0
"143641",1178,-949000,532000,0
"75110",1173,-1949000,2582000,0
"51639",1434,-2089000,3062000,0
"84919",4237,-1819000,2372000,0
"4885",2284,-1349000,4472000,0
"101656",3927,-1259000,1972000,0
