"","elevation","x","y","Presence"
"12980",36,651000,4152000,0
"9502",133,-1309000,4272000,0
"107212",1038,1271000,1832000,0
"39338",2551,-2059000,3342000,0
"135091",1765,-519000,922000,0
"124872",272,-169000,1282000,0
"31561",231,-1739000,3542000,0
"74391",304,431000,2602000,0
"28385",5,-2199000,3632000,0
"37697",1880,-2059000,3382000,0
"132953",295,-399000,1002000,0
"1379",23,-1869000,4662000,0
"106848",984,1311000,1842000,0
"93643",1229,-1219000,2172000,0
"53643",104,-1149000,3022000,0
"118518",128,411000,1492000,0
"127726",696,1791000,1192000,0
"126821",1019,1511000,1222000,0
"137752",98,81000,812000,0
"145852",69,141000,432000,0
"74874",294,471000,2592000,0
"37809",117,-939000,3382000,0
"93235",428,-1129000,2182000,0
"9025",100,-1179000,4292000,0
"91960",3661,-1269000,2212000,0
"107340",4729,-1109000,1822000,0
"1421",11,-1449000,4662000,0
"22179",375,-1679000,3822000,0
"24114",302,-2039000,3762000,0
"14141",133,-1339000,4102000,0
"32265",250,-1889000,3522000,0
"34116",3425,-2099000,3472000,0
"135405",95,151000,912000,0
"107004",1865,-809000,1832000,0
"129861",123,31000,1112000,0
"119489",582,801000,1462000,0
"34224",136,-1019000,3472000,0
"12242",131,-1309000,4172000,0
"12194",1845,-1789000,4172000,0
"130588",1219,1551000,1092000,0
"132202",401,491000,1032000,0
"4476",150,-1239000,4492000,0
"109021",856,1221000,1782000,0
"142742",373,561000,582000,0
"18064",201,-1239000,3962000,0
"122276",571,1101000,1372000,0
"34896",3586,-2079000,3452000,0
"38523",448,-1999000,3362000,0
"7300",560,-1749000,4362000,0
"40562",2334,-2139000,3312000,0
"24482",283,-1669000,3752000,0
"121901",131,401000,1382000,0
"14406",147,-1399000,4092000,0
"9024",99,-1189000,4292000,0
"82760",161,-579000,2422000,0
"140830",218,411000,672000,0
"139572",601,701000,732000,0
"113920",4389,-969000,1632000,0
"109279",106,241000,1772000,0
"110679",99,191000,1732000,0
"99311",3890,-1259000,2032000,0
"14335",167,601000,4102000,0
"32251",1654,-2029000,3522000,0
"4447",55,-1529000,4492000,0
"129668",478,981000,1122000,0
"142477",80,11000,592000,0
"135225",545,821000,922000,0
"11296",99,191000,4212000,0
"26422",93,-2139000,3692000,0
"110358",200,461000,1742000,0
"109551",442,-589000,1762000,0
"21528",2072,-1839000,3842000,0
"149749",74,-129000,242000,0
"47547",98,-1179000,3152000,0
"106803",316,861000,1842000,0
"133952",774,1271000,972000,0
"115369",169,471000,1592000,0
"145929",1115,911000,432000,0
"136821",153,-109000,852000,0
"99963",653,1321000,2022000,0
"94885",3352,-1229000,2142000,0
"134623",182,-169000,942000,0
"149963",28,21000,232000,0
"126949",213,-139000,1212000,0
"125017",1145,1281000,1282000,0
"12275",102,-979000,4172000,0
"143976",58,291000,522000,0
"25488",251,-1539000,3722000,0
"3261",38,-1669000,4552000,0
"122830",651,551000,1352000,0
"107120",127,351000,1832000,0
"19810",136,-969000,3902000,0
"127856",86,181000,1182000,0
"150202",176,431000,222000,0
"140683",31,1071000,682000,0
"36060",183,-2279000,3422000,0
"138184",131,-69000,792000,0
"43927",779,-2049000,3232000,0
"139306",65,201000,742000,0
"123466",358,851000,1332000,0
"129083",392,891000,1142000,0
"138427",82,151000,782000,0
"16256",152,611000,4032000,0
"97715",1834,-1349000,2072000,0
"18665",121,-929000,3942000,0
"21891",181,-1379000,3832000,0
"445",688,-1619000,4732000,0
"71750",1639,-1829000,2652000,0
"34210",117,-1159000,3472000,0
"115293",360,-289000,1592000,0
"92843",192,-859000,2192000,0
