"","x","y","elevation","Presence"
"1",2476500,2286500,17,0
"2",1641500,3243500,49,0
"3",2028500,2678500,351,0
"4",-772500,3439500,60,0
"5",-788500,4665500,592,0
"6",-1799500,4579500,35,0
"7",-1858500,3662500,244,0
"8",-1915500,3373500,301,0
"9",825500,3046500,216,0
"10",383500,1971500,302,0
"11",-996500,847500,1846,0
"12",-712500,959500,4589,0
"13",659500,430500,568,0
"14",-63500,2102500,315,0
"15",-737500,1693500,4222,0
"16",396500,4117500,116,0
"17",1693500,1330500,643,0
"18",-267500,3910500,366,0
"19",-852500,342500,3377,0
"20",-163500,1417500,396,0
"21",87500,1244500,112,0
"22",-972500,3364500,129,0
"23",67500,1941500,290,0
"24",-139500,1874500,381,0
"25",262500,1902500,138,0
"26",406500,2241500,338,0
"27",251500,1583500,86,0
"28",1046500,3284500,89,0
"29",-931500,2186500,210,0
"30",-2119500,3369500,4179,0
"31",408500,1269500,233,0
"32",-68500,2729500,147,0
"33",-591500,3060500,87,0
"34",-94500,1924500,196,0
"35",-802500,2603500,136,0
"36",1395500,1900500,674,0
"37",579500,3918500,452,0
"38",-2213500,3367500,33,0
"39",-838500,1756500,3889,0
"40",-776500,465500,3740,0
"41",-1860500,3683500,337,0
"42",250500,1761500,104,0
"43",805500,2784500,254,0
"44",362500,2114500,428,0
"45",903500,283500,928,0
"46",-758500,2038500,185,0
"47",-133500,1204500,209,0
"48",-825500,4390500,40,0
"49",128500,1349500,99,0
"50",1857500,1746500,763,0
"51",1021500,1837500,729,0
"52",1016500,1479500,577,0
"53",-1214500,3131500,102,0
"54",1433500,3304500,129,0
"55",1091500,1972500,617,0
"56",446500,1198500,494,0
"57",-1104500,1893500,4951,0
"58",1098500,1608500,854,0
"59",175500,429500,82,0
"60",1358500,1993500,460,0
"61",-1466500,4151500,284,0
"62",-338500,3620500,55,0
"63",-887500,1390500,4004,0
"64",508500,360500,278,0
"65",-269500,2692500,104,0
"66",367500,1651500,123,0
"67",2077500,2296500,495,0
"68",-1893500,2814500,1896,0
"69",28500,1074500,126,0
"70",-632500,2822500,107,0
"71",694500,2391500,346,0
"72",-587500,3942500,148,0
"73",198500,2370500,247,0
"74",-1780500,4639500,43,0
"75",-2015500,3012500,271,0
"76",955500,384500,1153,0
"77",1430500,1598500,749,0
"78",-468500,4337500,273,0
"79",1602500,2625500,479,0
"80",-1645500,3573500,180,0
"81",640500,1358500,503,0
"82",1049500,2120500,246,0
"83",1028500,382500,52,0
"84",567500,1017500,253,0
"85",1679500,1225500,671,0
"86",-146500,3409500,63,0
"87",-1558500,2296500,3235,0
"88",-1886500,2686500,3363,0
"89",264500,431500,66,0
"90",-2094500,3487500,2761,0
"91",-1093500,3393500,115,0
"92",860500,3090500,240,0
"93",320500,3355500,8,0
"94",-133500,1754500,464,0
"95",-1324500,2081500,4242,0
"96",-1677500,3439500,215,0
"97",1435500,1759500,719,0
"98",-1717500,3565500,211,0
"99",1402500,2543500,299,0
"100",-1178500,2740500,216,0
"101",1662500,992500,4,0
"102",-681500,1765500,3755,0
"103",1464500,2785500,398,0
"104",913500,345500,1015,0
"105",1905500,3154500,100,0
"106",379500,1641500,132,0
"107",862500,2673500,294,0
"108",-1487500,4365500,2590,0
"109",172500,3732500,306,0
"110",263500,2037500,271,0
"111",1018500,3631500,15,0
"112",179500,2517500,236,0
"113",-1923500,4007500,2026,0
"114",-109500,609500,116,0
"115",1057500,1205500,423,0
"116",-418500,3626500,41,0
"117",490500,2042500,326,0
"118",1160500,904500,729,0
"119",1630500,1898500,740,0
"120",156500,2368500,300,0
"121",-255500,2612500,176,0
"122",917500,1230500,416,0
"123",-606500,1300500,4023,0
"124",-766500,3705500,104,0
"125",1935500,2716500,296,0
"126",715500,1356500,425,0
"127",-1024500,417500,507,0
"128",815500,1602500,780,0
"129",-1887500,3531500,252,0
"130",-387500,855500,394,0
"131",2363500,2629500,721,0
"132",1012500,1503500,403,0
"133",1603500,1101500,811,0
"134",-632500,3288500,66,0
"135",-1612500,3791500,288,0
"136",-754500,2532500,165,0
"137",-1757500,4630500,65,0
"138",-1298500,2064500,2488,0
"139",557500,324500,454,0
"140",45500,4208500,473,0
"141",-865500,3220500,102,0
"142",-2005500,2806500,3534,0
"143",2210500,3183500,35,0
"144",1148500,1942500,798,0
"145",-426500,2518500,157,0
"146",1603500,1416500,697,0
"147",-751500,4551500,126,0
"148",2078500,1923500,255,0
"149",550500,3028500,300,0
"150",-892500,1316500,3957,0
"151",1181500,2244500,254,0
"152",-707500,4707500,0,0
"153",-915500,2138500,242,0
"154",1190500,1934500,817,0
"155",999500,392500,256,0
"156",-1189500,4279500,99,0
"157",-964500,3600500,108,0
"158",2078500,3183500,49,0
"159",1559500,2669500,276,0
"160",-1354500,2418500,351,0
"161",-266500,1374500,492,0
"162",656500,1956500,599,0
"163",-2326500,3259500,113,0
"164",1164500,2225500,288,0
"165",1762500,1949500,1056,0
"166",140500,1180500,96,0
"167",1527500,3089500,336,0
"168",-1549500,3452500,172,0
"169",-191500,1240500,267,0
"170",-1542500,4166500,3366,0
"171",293500,3679500,197,0
"172",-754500,1515500,3786,0
"173",-2165500,2938500,1226,0
"174",1893500,3079500,52,0
"175",-741500,2284500,187,0
"176",1474500,3232500,75,0
"177",335500,2105500,479,0
"178",804500,388500,716,0
"179",-646500,1954500,182,0
"180",29500,4129500,376,0
"181",-1667500,4287500,99,0
"182",-967500,2241500,257,0
"183",1448500,3353500,86,0
"184",516500,1226500,348,0
"185",1059500,2149500,288,0
"186",149500,4034500,114,0
"187",-102500,2500500,172,0
"188",974500,3366500,36,0
"189",472500,2762500,300,0
"190",-232500,3223500,43,0
"191",18500,1965500,214,0
"192",2218500,3081500,154,0
"193",1088500,1377500,610,0
"194",1278500,2715500,205,0
"195",503500,3901500,428,0
"196",-481500,3180500,78,0
"197",751500,934500,346,0
"198",-744500,2810500,138,0
"199",429500,323500,173,0
"200",-114500,1178500,198,0
"201",1429500,963500,881,0
"202",-800500,1494500,3679,0
"203",-507500,1299500,2887,0
"204",-580500,1426500,4021,0
"205",1088500,653500,0,0
"206",955500,1060500,454,0
"207",2032500,1933500,639,0
"208",535500,3765500,340,0
"209",-398500,3189500,41,0
"210",1226500,3206500,90,0
"211",518500,3250500,14,0
"212",1998500,2377500,826,0
"213",1977500,1671500,398,0
"214",-521500,4550500,225,0
"215",-1878500,3953500,3313,0
"216",2314500,2741500,306,0
"217",208500,1416500,83,0
"218",1173500,2252500,296,0
"219",-2031500,2622500,599,0
"220",2364500,2926500,78,0
"221",1986500,2412500,606,0
