"","X","x","y","elevation","Presence"
"1",1,2159500,2303500,311,0
"2",2,-1182500,1928500,4726,0
"3",3,1393500,2569500,340,0
"4",4,-918500,4481500,54,0
"5",5,-807500,2746500,143,0
"6",6,-440500,2951500,58,0
"7",7,-463500,973500,1970,0
"8",8,421500,3428500,3,0
"9",9,1262500,1609500,958,0
"10",10,2531500,2683500,618,0
"11",11,-323500,656500,223,0
"12",12,1652500,1729500,755,0
"13",13,-2279500,3015500,269,0
"14",14,-1171500,3902500,190,0
"15",15,-997500,4673500,667,0
"16",16,423500,3358500,75,0
"17",17,1764500,1357500,541,0
"18",18,-594500,2209500,160,0
"19",19,-1069500,4705500,812,0
"20",20,1844500,2284500,1005,0
"21",21,1017500,3798500,182,0
"22",22,1762500,2642500,354,0
"23",23,-775500,2593500,181,0
"24",24,-715500,1286500,3664,0
"25",25,-870500,1753500,4450,0
"26",26,130500,2864500,111,0
"27",27,982500,1799500,554,0
"28",28,-688500,2773500,132,0
"29",29,-687500,3152500,102,0
"30",30,-1325500,3815500,205,0
"31",31,-1468500,3743500,252,0
"32",32,-69500,2238500,321,0
"33",33,117500,4339500,74,0
"34",34,-733500,1688500,4261,0
"35",35,810500,3437500,4,0
"36",36,1192500,1132500,770,0
"37",37,2204500,2868500,692,0
"38",38,420500,1400500,131,0
"39",39,-546500,1792500,206,0
"40",40,-1339500,3411500,140,0
"41",41,-1054500,1630500,1240,0
"42",42,325500,2834500,310,0
"43",43,-1418500,3832500,205,0
"44",44,-360500,3329500,58,0
"45",45,1383500,1286500,806,0
"46",46,-1036500,4648500,480,0
"47",47,-2001500,2937500,961,0
"48",48,621500,2541500,435,0
"49",49,-576500,3263500,77,0
"50",50,77500,2556500,144,0
"51",51,-218500,1765500,292,0
"52",52,-488500,4392500,321,0
"53",53,-1203500,3385500,128,0
"54",54,863500,1965500,265,0
"55",55,-693500,3276500,60,0
"56",56,1961500,2714500,283,0
"57",57,-183500,1954500,255,0
"58",58,971500,3979500,98,0
"59",59,-703500,4638500,228,0
"60",60,-1653500,3998500,3795,0
"61",61,1815500,2645500,484,0
"62",62,-1884500,2882500,822,0
"63",63,533500,4075500,101,0
"64",64,-978500,4441500,61,0
"65",65,-15500,624500,91,0
"66",66,1237500,1028500,622,0
"67",67,-1677500,3802500,359,0
"68",68,-2202500,3241500,15,0
"69",69,-1517500,4129500,1394,0
"70",70,-2196500,3594500,144,0
"71",71,-1542500,3501500,226,0
"72",72,-323500,4575500,60,0
"73",73,-1330500,1831500,2284,0
