"","x","y","strat","Presence"
"1",-832500,464500,0.1,0
"2",-799500,534500,0.1,0
"3",-820500,455500,0.1,0
"4",-810500,537500,0.1,0
"5",-795500,656500,0.1,0
"6",-869500,246500,0.1,0
"7",-797500,526500,0.1,0
"8",-826500,444500,0.1,0
"9",-799500,539500,0.1,0
"10",-838500,433500,0.1,0
"11",-872500,248500,0.1,0
"12",-804500,539500,0.1,0
"13",-832500,464500,0.1,0
"14",-828500,459500,0.1,0
"15",-872500,251500,0.1,0
"16",-825500,455500,0.1,0
"17",-816500,443500,0.1,0
"18",-815500,543500,0.1,0
"19",-809500,615500,0.1,0
"20",-794500,545500,0.1,0
"21",-805500,545500,0.1,0
"22",-868500,241500,0.1,0
"23",-868500,243500,0.1,0
"24",-809500,544500,0.1,0
"25",-793500,656500,0.1,0
"26",-825500,457500,0.1,0
"27",-837500,434500,0.1,0
"28",-833500,459500,0.1,0
"29",-802500,521500,0.1,0
"30",-822500,439500,0.1,0
"31",-831500,446500,0.1,0
"32",-807500,528500,0.1,0
"33",-839500,469500,0.1,0
"34",-821500,449500,0.1,0
"35",-806500,539500,0.1,0
"36",-829500,457500,0.1,0
"37",-811500,620500,0.1,0
"38",-793500,543500,0.1,0
"39",-825500,555500,0.1,0
"40",-828500,437500,0.1,0
"41",-824500,474500,0.1,0
"42",-806500,619500,0.1,0
"43",-836500,458500,0.1,0
"44",-859500,475500,0.1,0
"45",-838500,435500,0.1,0
"46",-808500,535500,0.1,0
"47",-840500,494500,0.1,0
"48",-804500,619500,0.1,0
"49",-788500,555500,0.1,0
"50",-830500,463500,0.1,0
"51",-819500,457500,0.1,0
"52",-810500,584500,0.1,0
"53",-803500,539500,0.1,0
"54",-820500,548500,0.1,0
"55",-799500,536500,0.1,0
"56",-809500,555500,0.1,0
"57",-827500,476500,0.1,0
"58",-793500,551500,0.1,0
"59",-822500,464500,0.1,0
"60",-805500,544500,0.1,0
"61",-825500,469500,0.1,0
"62",-807500,542500,0.1,0
"63",-830500,448500,0.1,0
"64",-813500,559500,0.1,0
"65",-820500,463500,0.1,0
"66",-849500,463500,0.1,0
"67",-804500,546500,0.1,0
"68",-801500,541500,0.1,0
"69",-815500,544500,0.1,0
"70",-813500,465500,0.1,0
"71",-818500,548500,0.1,0
"72",-818500,438500,0.1,0
"73",-863500,474500,0.1,0
"74",-826500,451500,0.1,0
"75",-872500,247500,0.1,0
"76",-794500,546500,0.1,0
"77",-822500,549500,0.1,0
"78",-825500,553500,0.1,0
"79",-826500,459500,0.1,0
"80",-870500,245500,0.1,0
"81",-820500,449500,0.1,0
"82",-814500,440500,0.1,0
"83",-806500,537500,0.1,0
"84",-807500,615500,0.1,0
"85",-826500,523500,0.1,0
"86",-828500,525500,0.1,0
"87",-825500,544500,0.1,0
"88",-808500,556500,0.1,0
"89",-804500,532500,0.1,0
"90",-800500,551500,0.1,0
"91",-815500,581500,0.1,0
"92",-818500,438500,0.1,0
"93",-829500,468500,0.1,0
"94",-814500,543500,0.1,0
"95",-801500,539500,0.1,0
"96",-797500,529500,0.1,0
"97",-814500,558500,0.1,0
"98",-810500,617500,0.1,0
"99",-814500,560500,0.1,0
"100",-819500,453500,0.1,0
"101",-807500,546500,0.1,0
"102",-818500,468500,0.1,0
"103",-832500,459500,0.1,0
"104",-812500,582500,0.1,0
"105",-822500,543500,0.1,0
"106",-832500,471500,0.1,0
"107",-828500,541500,0.1,0
"108",-819500,826500,0.1,0
"109",-818500,545500,0.1,0
"110",-816500,559500,0.1,0
"111",-816500,546500,0.1,0
"112",-822500,542500,0.1,0
"113",-827500,544500,0.1,0
"114",-870500,256500,0.1,0
"115",-832500,462500,0.1,0
"116",-796500,540500,0.1,0
"117",-870500,256500,0.1,0
"118",-829500,441500,0.1,0
"119",-835500,458500,0.1,0
"120",-810500,620500,0.1,0
"121",-830500,454500,0.1,0
"122",-834500,445500,0.1,0
"123",-820500,454500,0.1,0
"124",-837500,432500,0.1,0
"125",-824500,448500,0.1,0
"126",-828500,452500,0.1,0
"127",-789500,604500,0.1,0
"128",-815500,449500,0.1,0
"129",-815500,443500,0.1,0
"130",-832500,463500,0.1,0
"131",-817500,454500,0.1,0
"132",-805500,538500,0.1,0
"133",-819500,471500,0.1,0
"134",-801500,551500,0.1,0
"135",-830500,436500,0.1,0
"136",-828500,539500,0.1,0
"137",-779500,556500,0.1,0
"138",-805500,615500,0.1,0
"139",-825500,466500,0.1,0
"140",-797500,554500,0.1,0
"141",-824500,460500,0.1,0
"142",-800500,539500,0.1,0
"143",-799500,525500,0.1,0
"144",-822500,460500,0.1,0
"145",-789500,604500,0.1,0
"146",-871500,250500,0.1,0
"147",-807500,526500,0.1,0
"148",-796500,548500,0.1,0
"149",-836500,431500,0.1,0
"150",-816500,559500,0.1,0
"151",-802500,537500,0.1,0
"152",-823500,463500,0.1,0
